Date,cpi,fed_rate,unemployment_rate,industrial_output,oil_price,close,sp500_return
2012-05-13,228.713,0.16,8.2,97.4595,96.03,1353.3900146484375,-0.0033873413051768164
2012-05-14,228.713,0.16,8.2,97.4595,94.75,1338.3499755859375,-0.01111286391927968
2012-05-15,228.713,0.16,8.2,97.4595,93.97,1330.6600341796875,-0.005745837446504476
2012-05-16,228.713,0.16,8.2,97.4595,92.78,1324.800048828125,-0.004403818556987793
2012-05-17,228.713,0.16,8.2,97.4595,92.53,1304.8599853515625,-0.015051375861739213
2012-05-18,228.713,0.16,8.2,97.4595,91.51,1295.219970703125,-0.007387777046316768
2012-05-19,228.713,0.16,8.2,97.4595,91.51,1295.219970703125,-0.007387777046316768
2012-05-20,228.713,0.16,8.2,97.4595,91.51,1295.219970703125,-0.007387777046316768
2012-05-21,228.713,0.16,8.2,97.4595,92.57,1315.989990234375,0.016035901237667627
2012-05-22,228.713,0.16,8.2,97.4595,91.44,1316.6300048828125,0.0004863370186602989
2012-05-23,228.713,0.16,8.2,97.4595,89.4,1318.8599853515625,0.0016937032123527374
2012-05-24,228.713,0.16,8.2,97.4595,90.36,1320.6800537109375,0.001380031526917458
2012-05-25,228.713,0.16,8.2,97.4595,90.64,1317.8199462890625,-0.002165632329979128
2012-05-26,228.713,0.16,8.2,97.4595,90.64,1317.8199462890625,-0.002165632329979128
2012-05-27,228.713,0.16,8.2,97.4595,90.64,1317.8199462890625,-0.002165632329979128
2012-05-28,228.713,0.16,8.2,97.4595,90.64,1317.8199462890625,-0.002165632329979128
2012-05-29,228.713,0.16,8.2,97.4595,90.75,1332.4200439453125,0.011078977592776207
2012-05-30,228.713,0.16,8.2,97.4595,87.79,1313.3199462890625,-0.014334892170861036
2012-05-31,228.713,0.16,8.2,97.4595,86.52,1310.3299560546875,-0.0022766655169013106
2012-06-01,228.524,0.16,8.2,97.4768,83.17,1278.0400390625,-0.024642584749729912
2012-06-02,228.524,0.16,8.2,97.4768,83.17,1278.0400390625,-0.024642584749729912
2012-06-03,228.524,0.16,8.2,97.4768,83.17,1278.0400390625,-0.024642584749729912
2012-06-04,228.524,0.16,8.2,97.4768,83.95,1278.1800537109375,0.00010955419561042845
2012-06-05,228.524,0.16,8.2,97.4768,84.31,1285.5,0.005726850663809513
2012-06-06,228.524,0.16,8.2,97.4768,85.05,1315.1300048828125,0.023049400920118535
2012-06-07,228.524,0.16,8.2,97.4768,84.78,1314.989990234375,-0.00010646449242102118
2012-06-08,228.524,0.16,8.2,97.4768,84.08,1325.6600341796875,0.008114163624478143
2012-06-09,228.524,0.16,8.2,97.4768,84.08,1325.6600341796875,0.008114163624478143
2012-06-10,228.524,0.16,8.2,97.4768,84.08,1325.6600341796875,0.008114163624478143
2012-06-11,228.524,0.16,8.2,97.4768,82.58,1308.9300537109375,-0.012620113782869202
2012-06-12,228.524,0.16,8.2,97.4768,83.35,1324.1800537109375,0.011650737147309576
2012-06-13,228.524,0.16,8.2,97.4768,82.56,1314.8800048828125,-0.007023250955987548
2012-06-14,228.524,0.16,8.2,97.4768,83.83,1329.0999755859375,0.010814652782245693
2012-06-15,228.524,0.16,8.2,97.4768,84.03,1342.8399658203125,0.010337815429059649
2012-06-16,228.524,0.16,8.2,97.4768,84.03,1342.8399658203125,0.010337815429059649
2012-06-17,228.524,0.16,8.2,97.4768,84.03,1342.8399658203125,0.010337815429059649
2012-06-18,228.524,0.16,8.2,97.4768,83.26,1344.780029296875,0.0014447466011910937
2012-06-19,228.524,0.16,8.2,97.4768,83.99,1357.97998046875,0.009815695418065262
2012-06-20,228.524,0.16,8.2,97.4768,81.06,1355.68994140625,-0.0016863570122068738
2012-06-21,228.524,0.16,8.2,97.4768,77.91,1325.510009765625,-0.022261677039013494
2012-06-22,228.524,0.16,8.2,97.4768,79.33,1335.02001953125,0.007174604262178752
2012-06-23,228.524,0.16,8.2,97.4768,79.33,1335.02001953125,0.007174604262178752
2012-06-24,228.524,0.16,8.2,97.4768,79.33,1335.02001953125,0.007174604262178752
2012-06-25,228.524,0.16,8.2,97.4768,78.76,1313.719970703125,-0.015954853497705423
2012-06-26,228.524,0.16,8.2,97.4768,79.34,1319.989990234375,0.004772721486371312
2012-06-27,228.524,0.16,8.2,97.4768,80.27,1331.8499755859375,0.008984905521485453
2012-06-28,228.524,0.16,8.2,97.4768,77.72,1329.0400390625,-0.002109799583246086
2012-06-29,228.524,0.16,8.2,97.4768,85.04,1362.1600341796875,0.02492023877666627
2012-06-30,228.524,0.16,8.2,97.4768,85.04,1362.1600341796875,0.02492023877666627
2012-07-01,228.59,0.16,8.2,97.6714,85.04,1362.1600341796875,0.02492023877666627
2012-07-02,228.59,0.16,8.2,97.6714,83.72,1365.510009765625,0.0024593113157624913
2012-07-03,228.59,0.16,8.2,97.6714,87.74,1374.02001953125,0.0062321108631679945
2012-07-04,228.59,0.16,8.2,97.6714,87.74,1374.02001953125,0.0062321108631679945
2012-07-05,228.59,0.16,8.2,97.6714,87.11,1367.5799560546875,-0.0046870230309741245
2012-07-06,228.59,0.16,8.2,97.6714,84.37,1354.6800537109375,-0.00943264946713962
2012-07-07,228.59,0.16,8.2,97.6714,84.37,1354.6800537109375,-0.00943264946713962
2012-07-08,228.59,0.16,8.2,97.6714,84.37,1354.6800537109375,-0.00943264946713962
2012-07-09,228.59,0.16,8.2,97.6714,85.93,1352.4599609375,-0.0016388318166757898
2012-07-10,228.59,0.16,8.2,97.6714,83.92,1341.469970703125,-0.008125926498228409
2012-07-11,228.59,0.16,8.2,97.6714,85.88,1341.449951171875,-1.4923577632885987e-05
2012-07-12,228.59,0.16,8.2,97.6714,86.02,1334.760009765625,-0.004987097282612596
2012-07-13,228.59,0.16,8.2,97.6714,87.15,1356.780029296875,0.01649736234989274
2012-07-14,228.59,0.16,8.2,97.6714,87.15,1356.780029296875,0.01649736234989274
