PERMNO,date,PERMCO,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
22111,2010-10-08,21018,63.23000,7358000,0.000158,2754445,1,1
22111,2010-10-11,21018,63.30000,6173400,0.001107,2754445,1,1
22111,2010-10-12,21018,63.29000,8707300,-0.000158,2754445,1,1
22111,2010-10-13,21018,63.58000,10104600,0.004582,2754445,1,1
22111,2010-10-14,21018,63.74000,8654200,0.002517,2754445,1,1
22111,2010-10-15,21018,63.57000,13265000,-0.002667,2754445,1,1
22111,2010-10-18,21018,63.86000,10849200,0.004562,2754445,1,1
22111,2010-10-19,21018,63.29000,17235400,-0.008926,2754445,1,1
22111,2010-10-20,21018,63.60000,10206700,0.004898,2754445,1,1
22111,2010-10-21,21018,63.99000,11111600,0.006132,2754445,1,1
22111,2010-10-22,21018,63.81000,6774800,-0.002813,2754445,1,1
22111,2010-10-25,21018,63.98000,7795400,0.002664,2754445,1,1
22111,2010-10-26,21018,63.84000,7122800,-0.002188,2754445,1,1
22111,2010-10-27,21018,63.57000,11916000,-0.004229,2754445,1,1
22111,2010-10-28,21018,63.56000,10121600,-0.000157,2754445,1,1
22111,2010-10-29,21018,63.74000,9309800,0.002832,2754445,1,1
22111,2010-11-01,21018,63.69000,9360100,-0.000784,2754445,1,1
22111,2010-11-02,21018,63.88000,8632000,0.002983,2754445,1,1
22111,2010-11-03,21018,64.19000,9322000,0.004853,2754445,1,1
22111,2010-11-04,21018,64.76000,11337300,0.008880,2754445,1,1
22111,2010-11-05,21018,64.65000,9276500,-0.001699,2754445,1,1
22111,2010-11-08,21018,64.33000,8485000,-0.004950,2754445,1,1
22111,2010-11-09,21018,64.31000,9225500,-0.000311,2754445,1,1
22111,2010-11-10,21018,63.95000,10795300,-0.005598,2754445,1,1
22111,2010-11-11,21018,63.92000,9109400,-0.000469,2754445,1,1
22111,2010-11-12,21018,63.67000,12944700,-0.003911,2754445,1,1
22111,2010-11-15,21018,64.14000,12729300,0.007382,2754445,1,1
22111,2010-11-16,21018,63.14000,15671800,-0.015591,2754445,1,1
22111,2010-11-17,21018,63.06000,7416900,-0.001267,2754445,1,1
22111,2010-11-18,21018,63.83000,9400900,0.012211,2754445,1,1
22111,2010-11-19,21018,63.83000,12890300,0.000000,2754445,1,1
22111,2010-11-22,21018,63.62000,11179100,-0.003290,2754445,1,1
22111,2010-11-23,21018,62.87000,14766500,-0.011789,2754445,1,1
22111,2010-11-24,21018,63.29000,9636000,0.006680,2754445,1,1
22111,2010-11-26,21018,62.43000,4638800,-0.005056,2754445,1,1
22111,2010-11-29,21018,61.91000,12019300,-0.008329,2754445,1,1
22111,2010-11-30,21018,61.55000,12633500,-0.005815,2746254,1,1
22111,2010-12-01,21018,62.42000,15364700,0.014135,2746254,1,1
22111,2010-12-02,21018,62.60000,10160300,0.002884,2746254,1,1
22111,2010-12-03,21018,62.56000,9882700,-0.000639,2746254,1,1
22111,2010-12-06,21018,62.20000,8989000,-0.005754,2746254,1,1
22111,2010-12-07,21018,62.31000,9528800,0.001768,2746254,1,1
22111,2010-12-08,21018,62.45000,7879100,0.002247,2746254,1,1
22111,2010-12-09,21018,62.06000,12965800,-0.006245,2746254,1,1
22111,2010-12-10,21018,61.91000,11459200,-0.002417,2746254,1,1
22111,2010-12-13,21018,61.86000,13673600,-0.000808,2746254,1,1
22111,2010-12-14,21018,62.77000,13491200,0.014711,2746254,1,1
22111,2010-12-15,21018,62.57000,11535500,-0.003186,2746254,1,1
22111,2010-12-16,21018,62.40000,11150700,-0.002717,2746254,1,1
22111,2010-12-17,21018,62.54000,15960900,0.002244,2746254,1,1
22111,2010-12-20,21018,62.49000,8907000,-0.000799,2746254,1,1
22111,2010-12-21,21018,62.34000,7908100,-0.002400,2746254,1,1
22111,2010-12-22,21018,62.02000,8850100,-0.005133,2746254,1,1
22111,2010-12-23,21018,62.25000,7250200,0.003708,2746254,1,1
22111,2010-12-27,21018,61.93000,5163700,-0.005141,2746254,1,1
22111,2010-12-28,21018,62.05000,6354200,0.001938,2746254,1,1
22111,2010-12-29,21018,62.13000,4975400,0.001289,2746254,1,1
22111,2010-12-30,21018,61.94000,5770300,-0.003058,2746254,1,1
22111,2010-12-31,21018,61.85000,4981300,-0.001453,2746254,1,1
22111,2011-01-03,21018,62.82000,14898100,0.015683,2746254,1,1
22111,2011-01-04,21018,63.35000,12347000,0.008437,2746254,1,1
22111,2011-01-05,21018,63.31000,11837800,-0.000631,2746254,1,1
22111,2011-01-06,21018,63.21000,7606800,-0.001580,2746254,1,1
22111,2011-01-07,21018,62.60000,11085000,-0.009650,2746254,1,1
22111,2011-01-10,21018,62.16000,9775000,-0.007029,2746254,1,1
22111,2011-01-11,21018,62.27000,7372800,0.001770,2746254,1,1
22111,2011-01-12,21018,62.50000,8313000,0.003694,2746254,1,1
22111,2011-01-13,21018,62.91000,9489700,0.006560,2746254,1,1
22111,2011-01-14,21018,62.55000,11274700,-0.005722,2746254,1,1
22111,2011-01-18,21018,62.10000,13945100,-0.007194,2746254,1,1
22111,2011-01-19,21018,62.56000,9596700,0.007407,2746254,1,1
