PERMNO,date,PERMCO,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
86755,2014-01-09,35013,87.02000,23565117,-0.003322,520350,1,1
86755,2014-01-10,35013,87.30000,37848194,0.003218,520000,1,1
86755,2014-01-13,35013,86.01000,48640137,-0.014777,510150,1,1
86755,2014-01-14,35013,87.65000,36956587,0.019068,505200,1,1
86755,2014-01-15,35013,88.37000,39475960,0.008215,515000,1,1
86755,2014-01-16,35013,88.38000,34082806,0.000113,516500,1,1
86755,2014-01-17,35013,87.88000,36707516,-0.005657,514750,1,1
86755,2014-01-21,35013,88.55000,26347346,0.007624,500850,1,1
86755,2014-01-22,35013,88.78000,29596280,0.002597,497200,1,1
86755,2014-01-23,35013,88.48000,34942209,-0.003379,502600,1,1
86755,2014-01-24,35013,86.74000,63813228,-0.019666,501500,1,1
86755,2014-01-27,35013,85.90000,63398208,-0.009684,501750,1,1
86755,2014-01-28,35013,85.85000,44488554,-0.000582,503050,1,1
86755,2014-01-29,35013,84.93000,52064566,-0.010716,499050,1,1
86755,2014-01-30,35013,86.50000,67438777,0.018486,503350,1,1
86755,2014-01-31,35013,86.27000,45344773,-0.002659,497600,1,1
86755,2014-02-03,35013,84.29000,65617206,-0.022951,499450,1,1
86755,2014-02-04,35013,84.91000,37801215,0.007356,499650,1,1
86755,2014-02-05,35013,84.69000,41975204,-0.002591,496850,1,1
86755,2014-02-06,35013,85.77000,32338283,0.012752,499450,1,1
86755,2014-02-07,35013,87.30000,38510642,0.017838,500450,1,1
86755,2014-02-10,35013,87.80000,30260773,0.005727,498050,1,1
86755,2014-02-11,35013,88.80000,38748612,0.011390,498300,1,1
86755,2014-02-12,35013,88.97000,32533008,0.001914,496750,1,1
86755,2014-02-13,35013,89.63000,40546842,0.007418,497850,1,1
86755,2014-02-14,35013,89.81000,35083890,0.002008,505450,1,1
86755,2014-02-18,35013,90.25000,29695391,0.004899,505750,1,1
86755,2014-02-19,35013,89.63000,42575267,-0.006870,507350,1,1
86755,2014-02-20,35013,90.05000,41833278,0.004686,509250,1,1
86755,2014-02-21,35013,89.93000,31221745,-0.001333,520100,1,1
86755,2014-02-24,35013,90.41000,31582522,0.005338,524200,1,1
86755,2014-02-25,35013,90.31000,27464711,-0.001106,526950,1,1
86755,2014-02-26,35013,90.23000,42968334,-0.000886,521100,1,1
86755,2014-02-27,35013,90.44000,28750313,0.006463,522050,1,1
86755,2014-02-28,35013,90.34000,48623159,-0.001106,517200,1,1
86755,2014-03-03,35013,89.67000,38930610,-0.007416,524000,1,1
86755,2014-03-04,35013,90.81000,33189125,0.012713,519550,1,1
86755,2014-03-05,35013,91.06000,27220804,0.002753,516750,1,1
86755,2014-03-06,35013,90.98000,24086220,-0.000878,516350,1,1
86755,2014-03-07,35013,90.53000,31224837,-0.004946,517300,1,1
86755,2014-03-10,35013,90.61000,18138198,0.000884,518050,1,1
86755,2014-03-11,35013,90.22000,27505046,-0.004304,518050,1,1
86755,2014-03-12,35013,90.56000,27843615,0.003769,511200,1,1
86755,2014-03-13,35013,89.28000,48547219,-0.014134,511550,1,1
86755,2014-03-14,35013,88.67000,38872769,-0.006832,507350,1,1
86755,2014-03-17,35013,89.45000,28476800,0.008797,507750,1,1
86755,2014-03-18,35013,90.53000,31250235,0.012074,511950,1,1
86755,2014-03-19,35013,90.04000,40869371,-0.005413,511350,1,1
86755,2014-03-20,35013,90.29000,31646327,0.002777,511400,1,1
86755,2014-03-21,35013,89.00000,62812715,-0.012005,518750,1,1
